DISTRICT,AREA (ha.) Final estimate,AREA (ha.) Revised final estimate,AREA (ha.) Average last 5 yrs. Yr ending,AREA IRRIGATED(ha.),PRODUCTION (MT) Final estimate,PRODUCTION (MT) Revised final estimate,PRODUCTION (MT) Average last 5 yrs. Yr ending,yield,YIELD (Kg/ha.) Revised final estimate,YIELD (Kg/ha.) Average last 5 yrs. Yr ending
Jaipur,589,615,409,578,1934,2441,1473,558,675,612
Dausa,5,3,4,4,16,12,15,544,680,638
Tonk,362,488,703,346,1189,1937,2745,558,675,664
JAIPUR REGION,13638,17944,13032,13482,46524,84426,54666,580,800,713
Sikar,134,63,45,133,440,250,163,558,675,616
Jhunjhunu,17956,17321,12110,17954,46600,31760,31960,441,312,449
Nagaur,60419,57519,54502,60387,169364,136532,139787,477,404,436
SIKAR REGION,78509,74903,66657,78474,216404,168542,171910,469,383,438
Alwar,55619,63197,56103,55613,153259,193029,155862,468,519,472
Bharatpur,6144,6833,7190,4440,15013,22152,18189,415,551,430
Dholpur,0,27,52,0,0,107,179,0,674,585
S.Madhopur,0,0,1,0,0,0,2,0,0,340
Karoli,5,5,2,4,16,20,7,544,680,595
BHARATPUR REGION,61768,70062,63348,60057,168288,215308,174239,463,522,468
Bikaner,39700,31019,11541,39699,83345,95297,32489,357,522,479
Churu,13757,9218,3987,13741,21067,14698,8750,260,271,373
Jaisalmer,287,209,208,287,942,830,742,558,675,606
BIKANER REGION,53744,40446,15736,53727,105354,110825,41981,333,466,454
Ganganagar,187082,218605,154896,186916,695090,1138197,661235,632,885,726
Hanumangarh,206139,230948,195035,206094,752598,889765,712955,621,655,621
G.NAGAR REGION,393221,449553,349931,393010,1447688,2027962,1374190,626,767,668
Jodhpur,74529,63124,52810,74527,235643,238858,180940,537,643,582
Barmer,0,5,1,0,0,20,5,0,680,850
JODHPUR REGION,74529,63129,52811,74527,235643,238878,180945,537,643,582
Jalore,884,1366,890,884,3955,4761,3062,761,593,585
Pali,13390,18782,15457,13362,45422,79713,56437,577,721,621
Sirohi,1819,2632,2781,1812,4278,7161,7715,400,463,472
JALORE REGION,16093,22780,19128,16058,53655,91635,67214,567,684,597
Kota,2,0,3,0,7,0,10,595,,567
Baran,0,0,2,0,0,0,6,0,0,510
Bundi,13,15,163,11,43,60,539,562,680,562
Jhalawar,0,0,1,0,0,0,5,0,0,850
KOTA REGION,15,15,169,11,50,60,560,567,680,563
Banswara,11331,10546,10602,0,44476,56053,34981,667,904,561
Dungarpur,315,402,536,280,1034,1596,1595,558,675,506
Udaipur,2053,2157,1526,1728,6741,8563,4810,558,675,536
Pratapgarh,960,768,855,0,1934,1539,2186,342,341,435
UDAIPUR REGION,14659,13873,13519,2008,54185,67751,43572,628,830,548
Bhilwara,39365,44759,40888,36202,126005,162935,138313,544,619,575
Chittore,6538,6069,11125,6054,15114,24011,37687,393,673,576
Rajsamand,3779,4306,4248,3704,13040,14590,12880,587,576,515
BHILWARA REGION,49682,55134,56261,45960,154159,201536,188880,527,621,571