CROP JOWAR                                                                                                                                                                                                                                                                     YEAR 2021-22,,,,,,,,,,
DISTRICT,AREA (ha.),,,AREA IRRIGATED(ha.),PRODUCTION (MT),,,YIELD (Kg/ha.),,
,Final estimate,Revised final estimate,Average last 5 yrs. Yr ending,,Final estimate,Revised final estimate,Average last 5 yrs. Yr ending,Final estimate,Revised final estimate,Average last 5 yrs. Yr ending
Jaipur,34718,31370,34024,24,30181,32131,27048,869,1024,795
Dausa,3329,3454,4255,0,4013,2441,3465,1205,707,814
Tonk,69264,72717,62697,5,65472,64061,42133,945,881,672
JAIPUR REGION,264291,252288,241512,175,224117,229579,168462,848,910,698
Sikar,19,0,1,10,16,0,1,842,0,1000
Jhunjhunu,3,8,2,0,3,9,2,1000,1125,1000
Nagaur,47019,28085,34184,389,31963,20398,20629,680,726,603
SIKAR REGION,47041,28093,34187,399,31982,20407,20632,680,726,604
Alwar,16018,17683,21854,4,18482,18104,18469,1154,1024,845
Bharatpur,32695,36296,46959,0,37602,44692,40741,1150,1231,868
Dholpur,46,243,307,0,40,256,231,870,1053,752
S.Madhopur,234,641,593,0,202,676,449,863,1055,757
Karoli,468,447,468,0,404,472,354,863,1056,756
BHARATPUR REGION,49461,55310,70181,4,56730,64200,60244,1147,1161,858
Bikaner,85,71,561,43,58,52,356,682,732,635
Churu,3,7,7,2,3,7,5,1000,1000,714
Jaisalmer,4415,4652,3586,35,3815,4907,2376,864,1055,663
BIKANER REGION,4503,4730,4154,80,3876,4966,2737,861,1050,659
Ganganagar,1592,139,407,1592,1376,147,331,864,1058,813
Hanumangarh,531,4,77,392,459,4312,908,864,1078000,11792
G.NAGAR REGION,2123,143,484,1984,1835,4459,1239,864,31182,2560
Jodhpur,47275,33410,40684,162,27173,30853,26720,575,923,657
Barmer,2951,5448,5980,71,306,2509,1495,104,461,250
JODHPUR REGION,50226,38858,46664,233,27479,33362,28215,547,859,605
Jalore,3495,3389,4478,44,362,1673,1588,104,494,355
Pali,90620,72652,76881,5,38683,44167,36604,427,608,476
Sirohi,2745,2878,4384,105,1172,3096,1825,427,1076,416
JALORE REGION,96860,78919,85743,154,40217,48936,40017,415,620,467
Kota,807,1210,1593,0,915,1682,2152,1134,1390,1351
Baran,45,62,411,0,39,65,289,867,1048,703
Bundi,206,315,341,0,178,332,261,864,1054,765
Jhalawar,563,309,543,0,486,326,380,863,1055,700
KOTA REGION,1621,1896,2888,0,1618,2405,3082,998,1268,1067
Banswara,97,126,234,0,84,133,166,866,1056,709
Dungarpur,148,178,213,0,128,188,160,865,1056,751
Udaipur,6391,4807,5404,0,4585,5222,3205,717,1086,593
Pratapgarh,3,3,5,0,3,3,3,1000,1000,600
UDAIPUR REGION,6639,5114,5856,0,4800,5546,3534,723,1084,603
Bhilwara,66495,61682,54237,6,98445,110315,65014,1480,1788,1199
Chittore,23735,20638,16063,0,29631,48311,22704,1248,2341,1413
Rajsamand,6987,7931,9676,0,14976,17854,17434,2143,2251,1802
BHILWARA REGION,97217,90251,79976,6,143052,176480,105152,1471,1955,1315