CROP MUSTARD                                                                                                                                                                                                                                                                   YEAR 2021-22,,,,,,,,,,
DISTRICT,AREA (ha.),,,AREA IRRIGATED(ha.),PRODUCTION (MT),,,YIELD (Kg/ha.),,
,Final estimate,Revised final estimate,Average last 5 yrs. Yr ending,,Final estimate,Revised final estimate,Average last 5 yrs. Yr ending,Final estimate,Revised final estimate,Average last 5 yrs. Yr ending
Jaipur,163029,86562,86773,98701,274814,138219,132501,1686,1597,1527
Dausa,81377,53841,52705,61330,161469,99828,94111,1984,1854,1786
Tonk,359341,253542,247395,332778,652288,441217,415544,1815,1740,1680
JAIPUR REGION,677702,429694,421912,558956,1226728,744468,700405,1810,1733,1660
Sikar,71019,39965,40384,53623,97991,53121,51145,1380,1329,1266
Jhunjhunu,122630,75054,69240,112327,196670,116979,109546,1604,1559,1582
Nagaur,113214,54165,58761,100984,143725,69388,69925,1269,1281,1190
SIKAR REGION,306863,169184,168385,266934,438386,239488,230616,1429,1416,1370
Alwar,319870,241808,243286,304775,685628,552219,499070,2143,2284,2051
Bharatpur,289634,233858,219738,276637,570376,494539,431778,1969,2115,1965
Dholpur,97495,76988,67940,84434,217632,182101,147937,2232,2365,2177
S.Madhopur,190487,146152,143496,174355,339830,270570,258692,1784,1851,1803
Karoli,118192,79752,81039,97976,244665,160434,154174,2070,2012,1902
BHARATPUR REGION,1015678,778558,755499,938177,2058131,1659863,1491651,2026,2132,1974
Bikaner,222474,111418,119125,221102,310913,133172,147696,1398,1195,1240
Churu,140609,79570,79904,134548,204808,77791,83310,1457,978,1043
Jaisalmer,70382,45991,44807,70116,66349,25922,39388,943,564,879
BIKANER REGION,433465,236979,243836,425766,582070,236885,270394,1343,1000,1109
Ganganagar,401939,229052,227583,379788,729551,426024,392355,1815,1860,1724
Hanumangarh,246738,121653,120750,220589,436630,169860,185079,1770,1396,1533
G.NAGAR REGION,648677,350705,348333,600377,1166181,595884,577434,1798,1699,1658
Jodhpur,219533,205575,169133,215354,280127,265925,223042,1276,1294,1319
Barmer,64067,18009,14600,63829,69726,20247,14676,1088,1124,1005
JODHPUR REGION,283600,223584,183733,279183,349853,286172,237718,1234,1280,1294
Jalore,172037,78484,78818,169823,246528,117194,103651,1433,1493,1315
Pali,74677,44452,51200,58182,95667,59485,64651,1281,1338,1263
Sirohi,25279,15876,13624,24849,35815,22495,16103,1417,1417,1182
JALORE REGION,271993,138812,143642,252854,378010,199174,184405,1390,1435,1284
Kota,85055,45229,41893,85049,168101,83578,75267,1976,1848,1797
Baran,123862,82211,80157,123862,232532,147819,155946,1877,1798,1946
Bund,94179,42181,40460,93631,161868,75127,64416,1719,1781,1592
Jhalawar,71688,42028,44228,71637,127928,80284,62761,1785,1910,1419
KOTA REGION,374784,211649,206738,374179,690429,386808,358390,1842,1828,1734
Banswara,0,2,17,0,0,3,27,0,1500,1588
Dungarpur,104,227,308,34,178,389,500,1712,1714,1623
Udaipur,13698,6255,7149,6034,11719,6848,6686,856,1095,935
Pratapgarh,12751,9199,11397,12677,22003,15354,18240,1726,1669,1600
UDAIPUR REGION,26553,15683,18871,18745,33900,22594,25453,1277,1441,1349
Bhilwara,80894,34480,32585,69528,134634,61187,47294,1664,1775,1451
Chittore,51188,26882,31560,51051,101675,47939,51346,1986,1783,1627
Rajsamand,2311,1101,1208,978,2641,1681,1321,1143,1527,1094
BHILWARA REGION,134393,62463,65353,121557,238950,110807,99961,1778,1774,1530